,Accuracy,Precision,Recall,F1,ROC-AUC
Baseline,0.7736,0.5811,0.5267,0.5526,0.8067
Class weight,0.7622,0.5484,0.5909,0.5689,0.804
SMOTE,0.7679,0.5651,0.5455,0.5551,0.8003
